X,Y,fid,ObjectID,GlobalID,Site Name,Sample Date,Sample Time,Submitted Date,Freshwater body type,What is the main land use within 50m?,Is there any of the following on the water surface?,Which of these best describes the dominant form of algae present?,Can you see any litter (including litter caught in vegetation)?,Which of the following sources of plastic pollution can you see?,Are there any pollution sources in the immediate surroundings? (select all that apply),Can you see any of the following water uses right now? (select all that apply),What aquatic life is there evidence of? (select all that apply),Has there been any rain during the last 24 hours?,Estimate the water flow,Estimate the water level,Estimate the waterway width (by measuring the widest bank distance at your current location) (m),Nitrate (mg/L),Phosphate (mg/L),Water quality - Secchi Tube (Turbidity),Estimate the water colour,feedback_eng,feedback_core,notes,sort_order_nitrates,sort_order_phosphates,sort_order_turbidity,icon_url
-1.148365831,51.67611849,"11","311586",f263c8a0-6010-4ef6-811b-7e02265cceef,Baldon all,06/11/2023,10:40:00,06/11/2023 11:42:43,Stream,Arable_agricultural,,No_algae,No,,Agricultural_runoff,,Plants_below_surface,,Steady,Average,1-2,2-5,<0.02,30_NTU,Yellow,"Your dataset indicates that this waterbody has a moderate ecological status. Elevated nitrate concentrations and high turbidity indicate an elevated nutrient loading from the surrounding catchment which can have negative consequences for the aquatic environment. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Elevated nitrate concentrations and high turbidity indicate an elevated nutrient loading from the surrounding catchment which can have negative consequences for the aquatic environment. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","1","7",./0.png
-1.148338834,51.67616045,"12","312535",a61278a4-70c2-4137-bdb3-a3aae85204fe,Baldon all,03/02/2024,09:15:00,03/02/2024 09:50:53,Stream,Arable_agricultural,,No_algae,In_on_the_water,,Agricultural_runoff,,,,Steady,Average,1-2,1-2,0.2-0.5,75_NTU,Brown,Your dataset indicates that this waterbody has a moderate ecological status. Moderately elevated phosphate concentrations can favour the formation of algal blooms. Turbidity values are also elevated and may lead to additional negative effects such as reduced light availability for aquatic biota and favours eutrophication. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ,Your dataset indicates that this waterbody has a moderate ecological status. Moderately elevated phosphate concentrations can favour the formation of algal blooms. Turbidity values are also elevated and may lead to additional negative effects such as reduced light availability for aquatic biota and favours eutrophication. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ,,"4","5","11",./0.png
-0.8633629467,51.83284866,"13","306148",56d206cd-db4a-493d-8b1b-e574674af9b9,"Fleet Marston, Denham, Pitchcott ALL",04/11/2022,13:27:00,04/11/2022 13:44:55,River,Urban_green_space,,No_algae,1_5m_from_river_edge,Recreational,Urban_road_runoff,,"Plants_emerging_from_water,Floating_plants",Heavy_prolonged,Slow,Average,6-10,2-5,0.5-1,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. High phosphate concentrations may also indicate a local pollution source (e.g. wastewater outlet, industrial emission or an agricultural runoff). Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. High phosphate concentrations may also indicate a local pollution source (e.g. wastewater outlet, industrial emission or an agricultural runoff). Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Upstream pool duckweed abundant. Abundant reeds and emergents. Minimal clear surface water upstream of bridge ,"5","6","1",./0.png
-0.8962784149,51.77308768,"14","306156",34d17e2d-54db-47e5-ad8f-5bcfb9553334,Scottsgrove below Stone STW,05/11/2022,11:42:00,05/11/2022 12:40:31,Stream,Livestock,,No_algae,No,,Agricultural_runoff,Animal_access,Plants_emerging_from_water,Heavy_prolonged,Slow,Average,1-2,1-2,0.1-0.2,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","4","1",./0.png
-0.9659146447,51.81148391,"15","306158",32aa5705-8956-400e-ba22-48ff51e7b2aa,Waddesdon ALL,05/11/2022,12:41:00,05/11/2022 13:31:35,Stream,Arable_agricultural,,,,,,,,,Steady,Average,1-2,5-10,0.02-0.05,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Raining & lot of rain recently. Lots of plants in stream but flowing well. ,"6","2","1",./0.png
-0.9317917673,51.80154792,"16","306159",cd24ae62-a83c-4544-9cba-c90cf5260044,Mid Thame below cuddington STW,05/11/2022,12:55:00,05/11/2022 13:31:36,Stream,Livestock,,,,,,,,,Steady,High,6-10,5-10,0.02-0.05,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"6","2","1",./0.png
-0.8477089759,51.81952222,"17","306165",29b4ce78-18f2-484b-b17e-f8ac017089f7,Stoke All,05/11/2022,15:45:00,05/11/2022 15:52:39,Stream,Urban_residential,,No_algae,Within_1m_of_river_edge,Recreational,,,,Light_showers,Slow,Average,1-2,1-2,0.05-0.1,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","3","1",./0.png
-0.8485164172,51.82087369,"18","306166",3dd3711e-d8f1-4507-8324-44df72d6cf9c,Bear All,05/11/2022,16:03:00,05/11/2022 18:08:13,Stream,Industrial_commercial,,No_algae,"In_on_the_water,1_5m_from_river_edge",Recreational,Outfall_pipe_currently_discharging,,,Light_showers,Steady,Average,3-5,1-2,0.1-0.2,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","4","1",./0.png
-0.9655483333,51.78168333,"19","306177",f3f98185-96db-4280-ac81-cb3ae9ec1d19,"Dorton, Chearsley, Waddesdon ALL",03/12/2022,09:56:00,03/12/2022 10:22:57,Stream,Livestock,,No_algae,No,,Outfall_pipe_not_discharging,,,,Slow,Average,3-5,>10,0.05-0.1,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Outfall from field drain about 5m upstream on west bank from the samling point of ,"7","3","1",./0.png
-0.8637521312,51.83268601,"20","306182",9d675ae5-33eb-4ed2-97e7-4cc5d4b1fd56,"Fleet Marston, Denham, Pitchcott ALL",03/12/2022,10:54:00,03/12/2022 11:34:28,Stream,Grassland_shrub,,No_algae,1_5m_from_river_edge,Recreational,Urban_road_runoff,,"Plants_below_surface,Plants_emerging_from_water,Floating_plants",Light_showers,Slow,Low,3-5,2-5,0.2-0.5,75_NTU,Colourless,"Your dataset indicates that this waterbody has a moderate ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Turbidity values are also elevated and may lead to additional negative effects such as reduced light availability for aquatic biota and favours eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Turbidity values are also elevated and may lead to additional negative effects such as reduced light availability for aquatic biota and favours eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","5","11",./0.png
-0.8419847175,51.78241935,"21","306183",e6163a4c-2ea7-4687-bb36-ea755bc88d5e,Scottsgrove above STWs,03/12/2022,11:09:00,03/12/2022 11:35:01,Stream,Arable_agricultural,,No_algae,Within_1m_of_river_edge,,Agricultural_runoff,,,Light_showers,Slow,Average,1-2,2-5,0.05-0.1,<14_NTU,Yellow,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","3","1",./0.png
-0.8964047781,51.77305805,"22","306194",ad88ad81-1d41-4620-b795-a344857f8766,Scotsgrove below Stone STW,03/12/2022,12:36:00,03/12/2022 14:25:02,Stream,Livestock,,No_algae,No,,Agricultural_runoff,,"Plants_below_surface,Plants_emerging_from_water",Light_showers,Slow,Average,1-2,0.2-0.5,0.1-0.2,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. ",,"2","4","1",./0.png
-0.9318176215,51.80149812,"23","306195",819c25ea-b286-4571-8d43-ee49dfc0917e,Mid thame below cuddington STW,03/12/2022,13:52:00,03/12/2022 14:47:26,River,Livestock,,,,,,,,,Steady,Average,6-10,5-10,0.02-0.05,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"6","2","1",./0.png
-0.9659288901,51.81142341,"24","306196",4cfe373d-e1fe-4250-a133-b4b4b08ba46d,Waddesdon all,03/12/2022,14:23:00,03/12/2022 14:47:28,River,Arable_agricultural,,,,,,,,,Steady,Average,1-2,5-10,<0.02,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"6","1","1",./0.png
-0.8477026943,51.81951287,"25","306200",f613e053-c23f-4104-be52-df59d1303f1f,Stoke All,03/12/2022,13:30:00,03/12/2022 18:17:54,Stream,Urban_residential,,No_algae,1_5m_from_river_edge,Recreational,,,,Light_showers,Slow,Average,1-2,1-2,0.05-0.1,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","3","1",./0.png
-0.8485353109,51.82083074,"26","306201",d0d42f9b-36e6-4340-ba29-5fd88d0b8844,Bear All,03/12/2022,13:52:00,03/12/2022 18:17:56,Stream,Industrial_commercial,Oily_sheen,No_algae,In_on_the_water,Recreational,Outfall_pipe_currently_discharging,,,Light_showers,Steady,Average,3-5,1-2,0.05-0.1,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","3","1",./0.png
-0.96534,51.78169667,"27","306209",655a384f-cf91-4e84-a22b-8de15d4a6e36,"Dorton, Chearsley, Waddesdon ALL",04/01/2023,09:56:00,04/01/2023 10:19:38,Stream,Livestock,,,No,,,,,Heavy_prolonged,Surging,High,3-5,>10,0.02-0.05,17_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Some flooding on adjacent fields (grassland),"7","2","3",./0.png
-0.8419723159,51.78239309,"28","306218",c2a68ad2-5693-4275-ac5d-a3209cd00cb8,Scottsgrove above STWs,07/01/2023,11:03:00,07/01/2023 11:32:38,Stream,Arable_agricultural,,No_algae,1_5m_from_river_edge,,,,,Heavy_prolonged,Steady,High,3-5,5-10,0.5-1,<14_NTU,Brown,"Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. High phosphate concentrations may also indicate a local pollution source (e.g. wastewater outlet, industrial emission or an agricultural runoff). Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. High phosphate concentrations may also indicate a local pollution source (e.g. wastewater outlet, industrial emission or an agricultural runoff). Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"6","6","1",./0.png
